season,week,scheme,alpha,N,mad_point,mad_width,spearman_point,spearman_width
31,10,rank,1.0,160,0.0,0.0,,
31,10,rank,1.0,320,0.0,0.0,,
31,10,rank,1.5,80,0.0,0.0,,
31,10,rank,1.5,160,0.0,0.0,,
31,10,rank,1.5,320,0.0,0.0,,
10,3,percent,0.4,80,0.018942247357976227,0.4081543247824248,0.5222329678670935,0.5222329678670935
10,3,percent,0.4,160,0.010973918218765161,0.267397313855665,0.5222329678670935,0.5222329678670935
10,3,percent,0.4,320,0.007704182250603525,0.20040139256090087,0.5222329678670935,0.5222329678670935
10,3,percent,0.7,80,0.005151735280790749,0.4599186154865764,0.5222329678670935,0.5222329678670935
10,3,percent,0.7,160,0.009588900975436656,0.44062370220610275,0.5222329678670935,0.5222329678670935
10,3,percent,0.7,320,0.0061945097262022745,0.3365777428048493,0.5222329678670935,0.5222329678670935
